,product_name,price
0,Adsun 80 cm (32 inch) HD Ready LED Smart TV,"₹9,499"
1,SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV,"₹36,999"
2,OnePlus Y1S 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,499"
3,OnePlus Y1 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999"
4,SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV,"₹16,999"
5,Mi 4A PRO 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,499"
6,OnePlus Y1S 108 cm (43 inch) Full HD LED Smart Android TV,"₹26,999"
7,Adsun 80 cm (32 inch) HD Ready LED TV,"₹8,999"
8,Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹31,999"
9,Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV,"₹22,999"
10,LG 80 cm (32 inch) HD Ready LED Smart TV,"₹17,499"
11,SAMSUNG The Frame 2020 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,"₹1,22,290"
12,Mi 4A Horizon Edition 80 cm (32 inch) HD Ready LED Smart Android TV,"₹16,499"
13,Vu Premium TV 80 cm (32 inch) HD Ready LED Smart TV with Bezel-Less Frame,"₹12,999"
14,acer Boundless series 80 cm (32 inch) HD Ready LED Smart Android TV with FRAMELESS DESIGN,"₹13,999"
15,Adsun Frameless 109 cm (43 inch) Full HD LED Smart TV,"₹17,999"
16,realme 80 cm (32 inch) HD Ready LED Smart Android TV,"₹15,999"
17,Vu Premium 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹26,999"
18,realme NEO 80 cm (32 inch) HD Ready LED Smart TV,"₹13,999"
19,Adsun 98.9 cm (39 inch) HD Ready LED Smart TV,"₹13,999"
20,Vu Premium 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹37,999"
21,Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹46,999"
22,OnePlus Y1 108 cm (43 inch) Full HD LED Smart Android TV,"₹25,899"
23,SAMSUNG The Frame 2021 Series 163 cm (65 inch) QLED Ultra HD (4K) Smart TV,"₹1,20,000"
